id,name,code,enabled,version,source,initialized,create_date,update_date,discriminator_type
1,おすすめ商品管理プラグイン,Recommend4,0,4.1.0,1757,0,2021-08-13 00:00:00,2021-08-13 00:00:00,plugin
2,Coupon Plugin for EC-CUBE4,Coupon4,0,4.1.1,1923,0,2021-08-13 00:00:00,2021-08-13 00:00:00,plugin
3,メールマガジンプラグイン,MailMagazine4,0,4.1.3,1760,0,2021-08-13 00:00:00,2021-08-13 00:00:00,plugin
4,売上集計プラグイン,SalesReport4,0,4.1.0,1759,0,2021-08-13 00:00:00,2021-08-13 00:00:00,plugin
5,関連商品プラグイン,RelatedProduct4,0,4.1.0,1761,0,2021-08-13 00:00:00,2021-08-13 00:00:00,plugin
6,Securitychecker4,Securitychecker4,0,4.1.1,2040,0,2021-08-13 00:00:00,2021-08-13 00:00:00,plugin
7,商品レビュー管理プラグイン,ProductReview4,0,4.1.0,1756,0,2021-08-13 00:00:00,2021-08-13 00:00:00,plugin
8,Web API,Api,0,2.1.3,2121,0,2021-08-13 00:00:00,2021-08-13 00:00:00,plugin
9,Site Kit プラグイン,SiteKit,0,1.1.2,2158,0,2021-08-13 00:00:00,2021-08-13 00:00:00,plugin
10,Google Merchant Center,GMC,0,1.1.5,2144,0,2021-08-13 00:00:00,2021-08-13 00:00:00,plugin
